Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,1341.150024,1347.400024,1317.500000,1322.800049,1222.738525,1351760
2018-01-02,1330.000000,1334.800049,1310.099976,1315.599976,1216.082764,1920290
2018-01-03,1316.000000,1334.500000,1315.599976,1319.324951,1219.526367,1257120
2018-01-04,1325.000000,1331.000000,1320.000000,1328.550049,1228.053223,913082
2018-01-05,1325.000000,1349.750000,1325.000000,1344.599976,1242.889282,1153706
2018-01-08,1350.000000,1363.425049,1340.925049,1357.199951,1254.536255,1242220
2018-01-09,1357.500000,1360.500000,1338.275024,1354.500000,1252.040283,2149396
2018-01-10,1355.500000,1408.000000,1347.324951,1403.300049,1297.149170,3365850
2018-01-11,1405.000000,1410.949951,1391.099976,1395.250000,1289.707886,2520744
2018-01-12,1402.500000,1402.500000,1370.275024,1388.175049,1283.168457,3360314
2018-01-15,1388.574951,1404.000000,1367.525024,1373.050049,1269.187134,1457214
2018-01-16,1378.000000,1430.824951,1375.275024,1425.425049,1317.600464,4267752
2018-01-17,1435.000000,1462.500000,1431.074951,1444.474976,1335.209351,4280806
2018-01-18,1448.500000,1466.500000,1434.025024,1459.099976,1348.728271,2209478
2018-01-19,1465.275024,1491.000000,1451.824951,1479.650024,1367.723511,1820000
2018-01-22,1480.500000,1567.349976,1461.000000,1558.199951,1443.746826,4367110
2018-01-23,1557.474976,1571.175049,1545.025024,1551.000000,1437.075562,3239610
2018-01-24,1545.000000,1629.525024,1541.324951,1587.300049,1470.709351,5621538
2018-01-25,1587.500000,1589.900024,1540.500000,1560.525024,1445.901001,3833844
2018-01-29,1565.699951,1612.500000,1561.000000,1599.425049,1481.943970,3141060
2018-01-30,1590.000000,1601.900024,1571.849976,1576.425049,1460.633301,1574758
2018-01-31,1568.500000,1575.000000,1549.300049,1556.175049,1441.870483,3043214
2018-02-01,1562.000000,1595.000000,1544.400024,1569.300049,1454.031738,2400630
2018-02-02,1560.000000,1595.000000,1551.724976,1576.824951,1461.003662,2456490
2018-02-05,1555.000000,1594.000000,1538.425049,1551.599976,1437.631470,2757742
2018-02-06,1505.000000,1538.574951,1492.500000,1498.625000,1388.547729,2657306
2018-02-07,1513.500000,1515.500000,1473.724976,1477.525024,1368.997314,2180324
2018-02-08,1489.875000,1513.800049,1479.500000,1487.099976,1377.869141,2755004
